timestamp,instrument,side,qty,price,realized_pnl
2025-12-15 00:00:05+00:00,deribit-BTC-30JAN26-90000-C-option,sell,1.0,4960.13,0.0
2025-12-15 00:00:05+00:00,deribit-BTC-30JAN26-future,buy,0.49175453602596647,88642.5,0.0
2025-12-15 02:19:05+00:00,deribit-BTC-30JAN26-future,buy,0.05074947355510612,90420.0,0.0
2025-12-15 14:53:55+00:00,deribit-BTC-30JAN26-future,sell,0.05103224084609742,88640.0,-8.613186102274511
2025-12-15 16:32:05+00:00,deribit-BTC-30JAN26-future,sell,0.05020420521242008,87000.0,-90.80832737253041
2025-12-17 14:52:55+00:00,deribit-BTC-30JAN26-future,buy,0.058044453825505105,89070.0,0.0
2025-12-17 15:06:55+00:00,deribit-BTC-30JAN26-future,buy,0.051755793245606974,90770.0,0.0
2025-12-17 15:44:15+00:00,deribit-BTC-30JAN26-future,sell,0.05053543223678425,88985.0,-1.7935021092384078
2025-12-17 16:15:05+00:00,deribit-BTC-30JAN26-future,sell,0.05608619833515305,87067.5,-109.53578406389381
2025-12-18 13:40:35+00:00,deribit-BTC-30JAN26-future,buy,0.05081856397328344,88890.0,0.0
2025-12-18 17:09:35+00:00,deribit-BTC-30JAN26-future,sell,0.05623962155540446,87002.5,-112.73797684275038
2025-12-18 19:40:55+00:00,deribit-BTC-30JAN26-future,sell,0.05202611759312792,84892.5,-214.0666925635119
2025-12-19 03:24:05+00:00,deribit-BTC-30JAN26-future,buy,0.05088224510792888,86932.5,0.0
2025-12-19 07:10:55+00:00,deribit-BTC-30JAN26-future,buy,0.052469889975230166,88717.5,0.0
2025-12-22 11:33:35+00:00,deribit-BTC-30JAN26-future,buy,0.05012556330023843,90400.0,0.0
2025-12-22 19:34:55+00:00,deribit-BTC-30JAN26-future,sell,0.05039269454771356,88820.0,-4.679377260839747
2025-12-23 14:54:35+00:00,deribit-BTC-30JAN26-future,sell,0.05106233071038557,87342.5,-80.18615212540914
2025-12-26 02:17:05+00:00,deribit-BTC-30JAN26-future,buy,0.051289061945504255,89065.0,0.0
2025-12-26 15:00:05+00:00,deribit-BTC-30JAN26-future,sell,0.054525013978566406,87575.0,-73.81449545544879
2025-12-29 02:00:15+00:00,deribit-BTC-30JAN26-future,buy,0.05028306403495708,89030.0,0.0
2025-12-29 03:39:45+00:00,deribit-BTC-30JAN26-future,buy,0.05030064392361744,90342.5,0.0
2025-12-29 09:36:55+00:00,deribit-BTC-30JAN26-future,sell,0.054543984887474306,88887.5,-10.000197447889317
2025-12-29 12:06:35+00:00,deribit-BTC-30JAN26-future,sell,0.05049996570346321,87575.0,-75.53996430065152
2025-12-30 14:52:45+00:00,deribit-BTC-30JAN26-future,buy,0.05391563904992458,89045.0,0.0
2025-12-31 16:42:55+00:00,deribit-BTC-30JAN26-future,sell,0.050345801960436254,87722.5,-67.73879505525423
